Data;Frase do usuário;Intenção;Confiabilidade;Status;Nova Intenção
2018-11-09 02:08:40 +00:00;tenho medo de reprovar por falta;Abono de Falta;6.49%;Aprovado;
2018-11-09 02:07:30 +00:00;vou reprovar por falta o que faco;Alteração de Senha;2.23%;Aprovado;
2018-11-09 02:07:23 +00:00;vou reprovar por falta;Agendamento de Atendimento;3.39%;Aprovado;
2018-11-09 02:06:56 +00:00;faltei mas tenho atestado;Abono de Falta;97.01%;Aprovado;
2018-11-09 02:06:42 +00:00;perdi aula fui no cecom;Abono de Falta;50.36%;Aprovado;
2018-11-09 02:06:31 +00:00;estou perto dos 75% de presenca;Agendamento de Atendimento;2.73%;Aprovado;
2018-11-09 02:06:16 +00:00;excedi o limite de faltas;Abono de Falta;95.56%;Aprovado;
2018-11-09 02:06:06 +00:00;excedi as faltas;Abono de Falta;93.45%;Aprovado;
2018-11-09 02:05:50 +00:00;abonar faltas;Abono de Falta;99.73%;Aprovado;
2018-11-09 02:05:41 +00:00;prova perdida;Abono de Falta;17.11%;Aprovado;
2018-11-09 02:05:26 +00:00;perdi prova;Abono de Falta;95.40%;Aprovado;
2018-11-09 02:01:27 +00:00;invadiram minha conta;Alteração de Senha;3.10%;Aprovado;
2018-11-09 02:01:16 +00:00;nova senha para email dac;Alteração de Senha;82.16%;Aprovado;
2018-11-09 02:01:08 +00:00;senha perdida;Alteração de Senha;16.33%;Aprovado;
2018-11-09 02:01:04 +00:00;perdi senha;Alteração de Senha;51.32%;Aprovado;
2018-11-09 02:00:48 +00:00;senha nova;Alteração de Senha;58.70%;Aprovado;
2018-11-09 02:00:41 +00:00;perdi acesso ao email dac;Alteração de Senha;31.23%;Aprovado;
2018-11-09 02:00:24 +00:00;onde eu troco minhas senhas?;Alteração de Senha;84.82%;Aprovado;
2018-11-09 02:00:13 +00:00;onde troco senhas?;Alteração de Senha;47.23%;Aprovado;
2018-11-09 01:59:55 +00:00;perdi meu acesso a conta da dac;Alteração de Senha;86.08%;Aprovado;
2018-11-09 01:59:43 +00:00;nova senha;Alteração de Senha;58.70%;Aprovado;
2018-11-09 01:59:31 +00:00;senha nova;Alteração de Senha;58.70%;Aprovado;
2018-11-09 01:42:35 +00:00;a sala cc03 esta ocupada?;Alocação de Salas;52.75%;Aprovado;
2018-11-09 01:37:02 +00:00;cumpri as disciplinas do meu curso, quero diploma;Diploma;88.04%;Aprovado;
2018-11-09 01:36:51 +00:00;cumpri as disciplinas do meu curso quero meu diploma;Diploma;89.31%;Aprovado;
2018-11-09 01:36:38 +00:00;cumpri as disciplinas do meu curso;Diploma;15.64%;Aprovado;
2018-11-09 01:35:52 +00:00;conclui as materias do meu curso;Aproveitamento de Estudos;4.71%;Aprovado;
2018-11-09 01:35:41 +00:00;oi daquinho, conclui as materias do meu curso;Aproveitamento de Estudos;15.96%;Aprovado;
2018-11-05 20:33:41 +00:00;gostaria de saber qual o procedimento para pre matricula para aluno especial da pos ;Alteração de Matrícula;13.26%;Não analisado;
2018-11-05 20:26:23 +00:00;boa tarde, preciso entrar com recurso referente ao processo seletivo de doutorado do instituto de geociencias;Aproveitamento de Estudos;9.86%;Não analisado;
2018-11-05 20:23:42 +00:00;gostaria de entregar uma solicitacao;Acompanhar Protocolo;4.58%;Reprovado;agendamento_de_atendimento
2018-11-05 20:23:22 +00:00;solicitacao geral;Acompanhar Protocolo;5.12%;Aprovado;
2018-11-05 20:22:03 +00:00;ola, preciso de uma autorizacao para meu passe de onibus como eu procedo?;Alteração de Senha;12.02%;Aprovado;
2018-11-03 13:59:27 +00:00;ver meu protocolo;Acompanhar Protocolo;99.08%;Aprovado;
2018-11-03 13:58:18 +00:00;como faco para acompanhar se meu protoclo esta concluido?;Alteração de Senha;11.10%;Reprovado;acompanhar_protocolo
2018-11-03 13:58:02 +00:00;alteracao de matricula;Alteração de Matrícula;83.42%;Aprovado;
2018-11-03 13:55:31 +00:00;como funciona o teste de proficiencia?;Cancelamento de Matrícula;30.47%;Não analisado;
2018-11-03 13:55:13 +00:00;e possivel fazer aproveitamento de disciplinas?;Aproveitamento de Estudos;20.52%;Aprovado;
2018-11-03 13:54:59 +00:00;e possivel fazer aproveitamento de matricula?;Cancelamento de Matrícula;30.37%;Reprovado;aproveitamento_de_estudos
2018-11-03 13:54:40 +00:00;como funciona o abono de faltas?;Abono de Falta;95.34%;Aprovado;
2018-11-03 13:54:21 +00:00;alteracao de matricula;Alteração de Matrícula;83.42%;Aprovado;
2018-11-03 13:54:16 +00:00;oi;Google;31.60%;Deletado;
2018-11-03 13:54:08 +00:00;emissao de documentos;Acompanhar Protocolo;2.44%;Reprovado;documentos_para_matricula
2018-10-30 00:20:58 +00:00;perdi varias aulas;Abono de Falta;8.83%;Aprovado;
2018-10-30 00:20:43 +00:00;perdi muitas aulas;Abono de Falta;8.88%;Aprovado;
2018-10-30 00:20:04 +00:00;perdi muitas aulas;Abono de Falta;8.88%;Aprovado;
2018-10-30 00:18:06 +00:00;faltei muitas aulas;Abono de Falta;11.29%;Aprovado;
2018-10-30 00:17:58 +00:00;excedi limite de faltas;Abono de Falta;68.01%;Aprovado;
2018-10-30 00:17:46 +00:00;perdi muitas aulas;Abono de Falta;8.88%;Aprovado;
2018-10-30 00:16:51 +00:00;perdi muitas aulas;Abono de Falta;8.88%;Aprovado;
2018-10-30 00:16:28 +00:00;faltei muitas aulas posso abonar;Abono de Falta;86.33%;Aprovado;
2018-10-30 00:16:20 +00:00;faltei muitas aulas;Abono de Falta;11.29%;Aprovado;
2018-10-30 00:16:11 +00:00;alteracao de matricula;Alteração de Matrícula;88.41%;Aprovado;
2018-10-30 00:14:46 +00:00;perdi muitas aulas;Abono de Falta;8.88%;Aprovado;
2018-10-30 00:14:39 +00:00;faltei muitas aulas;Abono de Falta;11.29%;Aprovado;
2018-10-30 00:13:18 +00:00;fiquei doente;Abono de Falta;89.10%;Aprovado;
2018-10-30 00:13:10 +00:00;perdi minha prova;Abono de Falta;90.37%;Aprovado;
2018-10-30 00:13:02 +00:00;perdi uma prova;Abono de Falta;91.01%;Aprovado;
2018-10-30 00:06:40 +00:00;perdi minha prova;Abono de Falta;7.04%;Não analisado;
2018-10-30 00:06:22 +00:00;faltei numa prova;Abono de Falta;46.82%;Não analisado;
2018-10-30 00:06:09 +00:00;preciso de atestado medico para abono de faltas?;Abono de Falta;98.47%;Não analisado;
2018-10-30 00:05:55 +00:00;fiquei doente;Abono de Falta;89.31%;Aprovado;
2018-10-30 00:05:47 +00:00;abono de faltas;Abono de Falta;87.04%;Aprovado;
2018-10-30 00:05:27 +00:00;faltei demais;Abono de Falta;14.34%;Aprovado;
2018-10-30 00:00:06 +00:00;queria saber sobre intercambios;Ementa de Disciplina;2.55%;Reprovado;intercambio
2018-10-29 23:57:02 +00:00;queria saber sobre intercambios;Ementa de Disciplina;2.55%;Reprovado;intercambio
2018-10-29 23:50:11 +00:00;quando eh a alteracao de matricula?;Calendário;91.18%;Aprovado;
2018-10-29 23:49:55 +00:00;quando e o perido de alteracao de amtricula?;Calendário;69.36%;Aprovado;
2018-10-29 23:49:42 +00:00;periodo de alteracao de matricula;Calendário;97.20%;Aprovado;
2018-10-29 23:33:16 +00:00;perdi meu ra;Cartão Universitário;98.54%;Aprovado;
2018-10-29 23:33:06 +00:00;quando e o periodo de matricula?;Calendário;56.45%;Aprovado;
2018-10-29 23:32:52 +00:00;quando e a semana de estudos?;Bolsas;9.93%;Reprovado;calendario
2018-10-29 23:32:42 +00:00;quando acaba o semestre?;Cancelamento de Matrícula;4.04%;Reprovado;calendario
2018-10-29 23:29:01 +00:00;alteracao de matricula;Calendário;70.53%;Reprovado;alteracao_de_matricula
2018-10-29 23:27:15 +00:00;mudanca de catalogo;Google;2.55%;Reprovado;mudanca_de_catalogo
2018-10-27 00:44:30 +00:00;rabinboca da parafuseta;Google;1.31%;Não analisado;
2018-10-27 00:35:29 +00:00;perdi ra;Cartão Universitário;99.27%;Aprovado;
2018-10-27 00:35:22 +00:00;perdi ra;Cartão Universitário;99.27%;Aprovado;
2018-10-27 00:35:17 +00:00;o;Google;19.83%;Deletado;
2018-10-27 00:34:04 +00:00;sim;Google;32.08%;Não analisado;
2018-10-27 00:34:01 +00:00;alteracao de matricula;Calendário;70.53%;Reprovado;alteracao_de_matricula
2018-10-27 00:33:57 +00:00;o;Google;19.83%;Não analisado;
2018-10-27 00:33:05 +00:00;alteracao de matricula;Calendário;70.53%;Não analisado;
2018-10-27 00:33:02 +00:00;emissao de documentos;Acompanhar Protocolo;2.71%;Não analisado;
2018-10-27 00:32:57 +00:00;mudanca de catalogo;Google;2.55%;Não analisado;
2018-10-27 00:32:52 +00:00;cancelamento de matricula;Documentos para Matrícula;24.38%;Não analisado;
2018-10-27 00:32:48 +00:00;o;Google;19.83%;Não analisado;
2018-10-27 00:32:16 +00:00;alteracao de matricula;Calendário;70.53%;Reprovado;alteracao_de_matricula
2018-10-27 00:32:12 +00:00;o;Google;19.83%;Deletado;
2018-10-27 00:31:38 +00:00;nao;Google;30.80%;Deletado;
2018-10-27 00:31:34 +00:00;alteracao de matricula;Calendário;70.53%;Reprovado;alteracao_de_matricula
2018-10-27 00:31:29 +00:00;o;Google;19.83%;Deletado;
2018-10-27 00:30:59 +00:00;perdi ra;Cartão Universitário;99.27%;Aprovado;
2018-10-27 00:30:43 +00:00;perdi ra;Cartão Universitário;99.27%;Aprovado;
2018-10-27 00:30:37 +00:00;o;Google;19.83%;Deletado;
2018-10-27 00:29:25 +00:00;ooo;Google;32.08%;Deletado;
2018-10-27 00:29:16 +00:00;sim;Google;32.08%;Deletado;
2018-10-27 00:29:12 +00:00;perdi ra;Cartão Universitário;99.27%;Aprovado;
2018-10-27 00:29:07 +00:00;o;Google;19.83%;Deletado;
2018-10-27 00:27:46 +00:00;sim;Google;32.08%;Deletado;
2018-10-27 00:27:37 +00:00;perdi ra;Cartão Universitário;99.27%;Aprovado;
2018-10-27 00:27:26 +00:00;oo;Google;32.08%;Deletado;
2018-10-27 00:26:09 +00:00;sim;Google;32.08%;Deletado;
2018-10-27 00:26:06 +00:00;perdi meu ra;Cartão Universitário;98.54%;Aprovado;
2018-10-27 00:25:58 +00:00;o;Google;19.83%;Deletado;
2018-10-27 00:25:01 +00:00;sim;Google;32.08%;Deletado;
2018-10-27 00:24:57 +00:00;perdi meu ra;Cartão Universitário;98.54%;Aprovado;
2018-10-27 00:24:47 +00:00;j;Google;32.08%;Deletado;
2018-10-27 00:21:41 +00:00;👍;Google;32.08%;Deletado;
2018-10-27 00:21:38 +00:00;perdi meu ra;Cartão Universitário;98.54%;Aprovado;
2018-10-27 00:21:29 +00:00;o;Google;19.83%;Deletado;
2018-10-27 00:20:54 +00:00;👍;Google;32.08%;Deletado;
2018-10-27 00:20:50 +00:00; perdi meu ra;Cartão Universitário;98.54%;Aprovado;
2018-10-27 00:20:41 +00:00;c~;Google;7.99%;Deletado;
2018-10-27 00:19:47 +00:00;👍;Google;32.08%;Deletado;
2018-10-27 00:19:43 +00:00;perdi meu ra;Cartão Universitário;98.54%;Aprovado;
2018-10-26 23:28:46 +00:00;jubilamento me fala algo;Diploma;3.61%;Reprovado;cancelamento_de_matricula
2018-10-26 23:23:20 +00:00;o que e jubilamento;Cancelamento de Matrícula;26.12%;Aprovado;
2018-10-26 23:22:06 +00:00;quero mudar minhas materias;Código de Disciplina;3.92%;Reprovado;alteracao_de_matricula
2018-10-26 23:21:54 +00:00;quero mudar de matricula;Documentos para Matrícula;23.42%;Não analisado;
2018-10-26 23:21:50 +00:00;como funciona a alteracao de matricula;Calendário;70.19%;Não analisado;
2018-10-26 23:13:49 +00:00;mudar de catalogo;Google;2.54%;Deletado;
2018-10-26 23:13:28 +00:00;quero mudar de catalogo;Diploma;2.67%;Aprovado;
2018-10-26 23:13:23 +00:00;como funciona o jubilamento?;Cancelamento de Matrícula;94.90%;Aprovado;
2018-10-26 23:12:22 +00:00;quero mudar de catalogo;Diploma;2.67%;Deletado;
2018-10-26 23:09:14 +00:00;quero mudar de catalogo;Diploma;2.67%;Deletado;
2018-10-26 22:59:54 +00:00;odeio a dac;Acompanhar Protocolo;7.82%;Não analisado;
2018-10-26 22:58:45 +00:00;ferramentas do google;Google;83.94%;Aprovado;
2018-10-26 22:58:37 +00:00;word;Google;93.17%;Não analisado;
2018-10-26 22:55:03 +00:00;perdi minha senha;Alteração de Senha;82.69%;Aprovado;
2018-10-26 22:54:46 +00:00;como funciona a alteracao de matricula;Calendário;70.19%;Reprovado;alteracao_de_matricula
2018-10-26 22:53:04 +00:00;perdi meu ra;Cartão Universitário;98.54%;Aprovado;
2018-10-26 22:52:38 +00:00;como funciona a alteracao de matricula;Calendário;82.77%;Reprovado;alteracao_de_matricula
2018-10-26 22:52:24 +00:00;alteracao de matricula;Calendário;94.43%;Reprovado;alteracao_de_matricula
2018-10-26 22:51:36 +00:00;quando e a alteracao de matricula;Calendário;86.69%;Reprovado;alteracao_de_matricula
2018-10-26 22:48:53 +00:00;perdi meu ra;Cartão Universitário;93.86%;Aprovado;
2018-10-26 22:48:43 +00:00;perdi minha senha;Alteração de Senha;46.00%;Aprovado;
2018-10-26 22:32:23 +00:00;como funciona o trancamento de matricula;Documentos para Matrícula;7.27%;Reprovado;trancamento_de_matricula
2018-10-26 22:31:52 +00:00;que horas e tal aula;Alocação de Salas;5.92%;Aprovado;
2018-10-26 22:31:23 +00:00;o que tem no bandeco;Cursos;25.81%;Não analisado;
2018-10-26 22:31:13 +00:00;eu perdi meu ra;Cartão Universitário;88.98%;Aprovado;
2018-10-26 22:31:06 +00:00;quero pegar meu diploma;Diploma;82.24%;Aprovado;
2018-10-26 22:31:01 +00:00;me formei o que fazer;Diploma;88.26%;Aprovado;
2018-10-26 22:30:46 +00:00;qual o codigo dessa materia;Código de Disciplina;79.07%;Aprovado;
2018-10-26 22:17:36 +00:00;o que e trancamento de matricula?;Documentos para Matrícula;15.27%;Aprovado;
2018-10-26 22:16:32 +00:00;como funciona o jubilamento?;Abono de Falta;30.00%;Aprovado;
2018-10-26 22:05:19 +00:00;oi;Google;39.21%;Deletado;
2018-10-26 22:05:13 +00:00;tchau;Google;39.21%;Deletado;
2018-10-26 22:05:09 +00:00;quero cancelar minha matricula;Cancelamento de Matrícula;82.59%;Aprovado;
2018-10-26 22:04:52 +00:00;trocar a senha;Alteração de Senha;96.18%;Aprovado;
2018-10-26 22:04:46 +00:00;perdi minha senha;Alteração de Senha;46.00%;Aprovado;
2018-10-26 22:04:18 +00:00;ja fiz algumas materias;Aproveitamento de Estudos;94.00%;Aprovado;
2018-10-26 22:04:10 +00:00;ja fiz algumasmaterias;Aproveitamento de Estudos;42.54%;Aprovado;
2018-10-26 22:03:27 +00:00;disciplinas;Aproveitamento de Estudos;37.18%;Deletado;
2018-10-26 22:03:21 +00:00;matricula;Documentos para Matrícula;45.79%;Deletado;
2018-10-26 22:03:15 +00:00;matricula em disciplinas;Aproveitamento de Estudos;12.89%;Deletado;
2018-10-26 22:03:05 +00:00;abono de faltas;Abono de Falta;94.83%;Aprovado;
2018-10-26 21:59:25 +00:00;formularios da dac;Alteração de Senha;39.87%;Deletado;
2018-10-26 21:59:07 +00:00;alteracao de matricula quando e ?;Calendário;84.41%;Aprovado;
